date,尖峰負載(MW)
2019-01-01,23872
2019-01-02,28148
2019-01-03,28452
2019-01-04,28490
2019-01-05,26054
2019-01-06,24617
2019-01-07,28536
2019-01-08,28719
2019-01-09,28641
2019-01-10,29006
2019-01-11,28798
2019-01-12,25905
2019-01-13,24629
2019-01-14,28348
2019-01-15,28887
2019-01-16,28649
2019-01-17,28395
2019-01-18,27756
2019-01-19,26477
2019-01-20,24539
2019-01-21,27739
2019-01-22,28140
2019-01-23,27838
2019-01-24,27863
2019-01-25,27296
2019-01-26,25282
2019-01-27,24414
2019-01-28,27557
2019-01-29,27858
2019-01-30,27760
2019-01-31,27181
2019-02-01,24709
2019-02-02,23382
2019-02-03,22915
2019-02-04,20214
2019-02-05,19992
2019-02-06,19936
2019-02-07,20938
2019-02-08,21581
2019-02-09,22436
2019-02-10,23236
2019-02-11,26667
2019-02-12,27768
2019-02-13,27699
2019-02-14,28250
2019-02-15,28262
2019-02-16,25432
2019-02-17,24343
2019-02-18,28645
2019-02-19,28876
2019-02-20,29078
2019-02-21,28912
2019-02-22,28420
2019-02-23,26723
2019-02-24,24694
2019-02-25,28084
2019-02-26,28390
2019-02-27,28013
2019-02-28,25472
2019-03-01,24689
2019-03-02,24734
2019-03-03,24102
2019-03-04,27688
2019-03-05,28241
2019-03-06,28032
2019-03-07,28147
2019-03-08,27951
2019-03-09,25870
2019-03-10,24801
2019-03-11,27730
2019-03-12,27936
2019-03-13,28145
2019-03-14,28147
2019-03-15,27757
2019-03-16,25318
2019-03-17,24681
2019-03-18,28338
2019-03-19,28882
2019-03-20,29645
2019-03-21,30343
2019-03-22,29618
2019-03-23,25265
2019-03-24,24812
2019-03-25,28535
2019-03-26,28756
2019-03-27,29140
2019-03-28,30093
2019-03-29,29673
2019-03-30,25810
